title,type,releasedate,developer,publisher,category
Farming Simulator 15,game,10/30/2014,Giants Software,Giants Software,top_1000
Conarium,game,6/6/2017,Zoetrope Interactive,Iceberg Interactive,top_1000
Microsoft Flight Simulator X: Steam Edition,game,12/18/2014,Microsoft Game Studios,Dovetail Games - Flight,top_1000
Rampage Knights,game,9/4/2015,Rake in Grass,Rake in Grass,top_1000
Euro Fishing,game,11/2/2015,Dovetail Games,Dovetail Games - Fishing ,top_1000
Oddworld: New n Tasty,game,2/25/2015,Just Add Water (Developments),Oddworld Inhabitants,top_1000
Silence,game,11/15/2016,Daedalic Entertainment,Daedalic Entertainment,top_1000
Age of Conquest IV,game,4/5/2016,Noble Master LLC,Noble Master LLC,top_1000
Dig or Die,game,7/10/2018,Gaddy Games,Gaddy Games,top_1000
Magic Duels,game,7/29/2015,Stainless Games Ltd,Wizards of the Coast LLC,top_1000
Grim Fandango Remastered,game,1/26/2015,Double Fine Productions,Double Fine Productions,top_1000
Kings Bounty: Armored Princess,game,11/19/2009,Katauri Interactive,1C Entertainment,top_1000
Double Action: Boogaloo,game,10/23/2014,Double Action Factory,Double Action Factory,top_1000
Guild of Dungeoneering,game,7/14/2015,Gambrinous,Versus Evil,top_1000
Five Nights at Freddys,game,8/19/2014,Scott Cawthon,Scott Cawthon,top_1000
Life is Strange,game,1/29/2015,DONTNOD Entertainment,Square Enix,top_1000
Trine 3: The Artifacts of Power,game,8/20/2015,Frozenbyte,Frozenbyte,top_1000
Command: Modern Air / Naval Operations WOTY,game,9/26/2014,WarfareSims,Slitherine Ltd,top_1000
20XX,game,8/16/2017,Batterystaple Games,Batterystaple Games,top_1000
Geometry Dash,game,12/22/2014,RobTop Games,RobTop Games,top_1000
Dont Starve Together,game,4/21/2016,Klei Entertainment,Klei Entertainment,top_1000
Dynasty Warriors 8 - Empires,game,2/26/2015,KOEI TECMO GAMES CO,KOEI TECMO GAMES CO,top_1000
theHunter: Primal,game,3/31/2015,Expansive Worlds,Expansive Worlds,top_1000
Vagante,game,2/21/2018,Nuke Nine,Nuke Nine,top_1000
TERA,game,5/5/2015,Bluehole,En Masse Entertainment,top_1000
Jotun,game,9/29/2015,Thunder Lotus Games,Thunder Lotus Games,top_1000
The Secret of Monkey Island: Special Edition,game,7/15/2009,LucasArts,LucasArts,top_1000
STAR WARS: Knights of the Old Republic,game,9/5/2009,BioWare,LucasArts,top_1000
Boundless,game,9/11/2018,Wonderstruck,Square Enix,top_1000
STAR WARS Empire at War: Gold Pack,game,5/25/2010,Petroglyph,LucasArts,top_1000
STAR WARS: The Force Unleashed II,game,12/1/2010,Aspyr Studios,LucasArts,top_1000
Total War: ATTILA,game,2/17/2015,CREATIVE ASSEMBLY,SEGA,top_1000
Windward,game,5/12/2015,Tasharen Entertainment Inc,Tasharen Entertainment Inc,top_1000
ShellShock Live,game,3/11/2015,kChamp Games,kChamp Games,top_1000
Out of Reach,game,7/13/2018,Space Boat Studios,Space Boat Studios,top_1000
Tilt Brush,game,4/5/2016,Google,Google,top_1000
Salt,game,2/6/2018,Lavaboots Studios,Lavaboots Studios,top_1000
Rise to Ruins,game,10/27/2014,Raymond Doerr,SixtyGig Games,top_1000
Gems of War,game,11/20/2014,Infinity Plus 2,505 Games,top_1000
Everlasting Summer,game,11/19/2014,Soviet Games,Soviet Games,top_1000
Assassins Creed II,game,3/4/2010,Ubisoft Montreal,Ubisoft,top_1000
LEGO Worlds,game,3/7/2017,TT Games / Travellers Tales,Warner Bros Interactive Entertainment,top_1000
ADOM (Ancient Domains Of Mystery),game,11/16/2015,Thomas Biskup,Thomas Biskup,top_1000
Cossacks 3,game,9/20/2016,GSC Game World,GSC Game World,top_1000
Caves of Qud,game,7/15/2015,Freehold Games,Freehold Games,top_1000
Dirty Bomb,game,6/15/2023,Splash Damage,Warchest Ltd,top_1000
Medieval Engineers,game,2/19/2015,Keen Software House,Keen Software House,top_1000
Town of Salem,game,12/15/2014,BlankMediaGames,BlankMediaGames,top_1000
Transformice,game,1/30/2015,Atelier 801,Atelier 801,top_1000
DARK SOULS II: Scholar of the First Sin,game,4/1/2015,FromSoftware,BANDAI NAMCO Entertainment,top_1000
Star Traders: Frontiers,game,7/31/2018,Trese Brothers,Trese Brothers,top_1000
LISA,game,12/15/2014,Dingaling,Dingaling Productions,top_1000
Deus Ex: Mankind Divided,game,8/23/2016,Eidos Montreal,Square Enix,top_1000
Sentinels of the Multiverse,game,12/22/2014,Handelabra Games Inc,Handelabra Games Inc,top_1000
The SKIES,game,4/16/2016,Eforb,Eforb,top_1000
Ratz Instagib 2.0,game,7/27/2016,Lino Slahuschek,Rising Star Games,top_1000
Batla,game,5/14/2015,[geim]pro,Abyss Lights Studio LLP,top_1000
Arma 2: Operation Arrowhead,game,6/29/2010,Bohemia Interactive,Bohemia Interactive,top_1000
Resident Evil 0 / biohazard 0 HD REMASTER,game,1/19/2016,CAPCOM Co,CAPCOM Co,top_1000
VEGA Conflict,game,12/14/2015,KIXEYE,KIXEYE,top_1000
FreeStyle 2: Street Basketball,game,4/1/2015,Joycity,Joycity,top_1000
Headlander,game,7/25/2016,Double Fine Productions,Adult Swim Games,top_1000
Survivalist,game,1/30/2015,Bob,Ginormocorp Holdings Ltd,top_1000
Napoleon: Total War,game,2/25/2010,CREATIVE ASSEMBLY,SEGA,top_1000
MechWarrior Online,game,12/10/2015,Piranha Games Inc,Piranha Games Inc,top_1000
Total War: SHOGUN 2,game,3/14/2011,CREATIVE ASSEMBLY,SEGA,top_1000
Reign Of Kings,game,12/15/2015,Code}{atch,Code}{atch,top_1000
In Exilium,game,3/13/2015,Conflux Games,Conflux Games,top_1000
SHOGUN: Total War - Gold Edition,game,6/25/2015,CREATIVE ASSEMBLY,SEGA,top_1000
LIGHTNING RETURNS: FINAL FANTASY XIII,game,12/10/2015,Square Enix,Square Enix,top_1000
Kings Quest,game,7/28/2015,The Odd Gentlemen,Sierra,top_1000
Besiege,game,1/28/2015,Spiderling Studios,Spiderling Studios,top_1000
ARK: Survival Evolved,game,8/27/2017,Studio Wildcard,Studio Wildcard,top_1000
AdVenture Capitalist,game,3/30/2015,Hyper Hippo Games,Hyper Hippo Games,top_1000
Terra Incognita ~ Chapter One: The Descendant,game,2/3/2015,Back To Basics Gaming,Back To Basics Gaming,top_1000
Peggle Deluxe,game,3/6/2007,PopCap Games,PopCap Games,top_1000
Google Earth VR,game,11/16/2016,Google,Google,top_1000
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,game,2/4/2016,CyberConnect2 Co Ltd,BANDAI NAMCO Entertainment,top_1000
TransOcean 2: Rivals,game,5/10/2016,Deck13 Hamburg,astragon Entertainment ,top_1000
Hyperdimension Neptunia Re;Birth2 Sisters Generation,game,5/29/2015,Idea Factory,Idea Factory,top_1000
Hyperdimension Neptunia Re;Birth3 V Generation,game,10/30/2015,Idea Factory,Idea Factory,top_1000
Rising Storm/Red Orchestra 2 Multiplayer,game,9/13/2011,Tripwire Interactive,Tripwire Interactive,top_1000
Pester,game,8/21/2015,Flump Studios,KISS ltd,top_1000
Survarium,game,4/2/2015,Vostok Games,Vostok Games,top_1000
Middle-earth: Shadow of War,game,10/9/2017,Monolith Productions,WB Games,top_1000
Party Hard,game,8/25/2015,Pinokl Games,tinyBuild,top_1000
Ultimate Marvel vs. Capcom 3,game,3/6/2017,CAPCOM CO,CAPCOM USA,top_1000
Red Lake,game,3/25/2015,Talentplace,KishMish Games,top_1000
Defend Your Life,game,4/10/2015,Alda Games,Alda Games,top_1000
Plants vs. Zombies: Game of the Year,game,5/5/2009,PopCap Games,PopCap Games,top_1000
Evoland 2,game,8/25/2015,Shiro Games,Shiro Games,top_1000
Elite Dangerous,game,4/2/2015,Frontier Developments,Frontier Developments,top_1000
Tom Clancys Rainbow Six Siege,game,12/1/2015,Ubisoft Montreal,Ubisoft,top_1000
FINAL FANTASY X/X-2 HD Remaster,game,5/12/2016,Square Enix,Square Enix,top_1000
Mafia III,game,10/6/2016,Hangar 13,2K,top_1000
Yooka-Laylee,game,4/11/2017,Playtonic Games,Team17 Digital Ltd,top_1000
ASTRONEER,game,2/5/2019,System Era Softworks,System Era Softworks,top_1000
Exanima,game,4/29/2015,Bare Mettle Entertainment,Bare Mettle Entertainment,top_1000
Fran Bow,game,8/27/2015,Killmonday Games AB,Killmonday Games AB,top_1000
NOBUNAGAS AMBITION: Kakushin with Power Up Kit,game,6/25/2015,KOEI TECMO GAMES CO,KOEI TECMO GAMES CO,top_1000
Romance of the Three Kingdoms 13,game,1/27/2016,KOEI TECMO GAMES CO,KOEI TECMO GAMES CO,top_1000
Interstellar Rift,game,6/23/2015,Split Polygon,Split Polygon,top_1000
RPG Maker MV,game,10/23/2015,KADOKAWA,Degica,top_1000
Clicker Heroes,game,5/13/2015,Playsaurus,Playsaurus,top_1000
Total War: WARHAMMER,game,5/24/2016,CREATIVE ASSEMBLY,SEGA,top_1000
Roguelands,game,6/13/2016,SmashGames,SmashGames,top_1000
The Elder Scrolls: Legends,game,5/31/2017,Sparkypants Studios,Bethesda Softworks,top_1000
Transmissions: Element 120,game,6/16/2016,Shokunin,Self Published,top_1000
Battle Brothers,game,3/24/2017,Overhype Studios,Overhype Studios,top_1000
Tom Clancys The Division,game,3/7/2016,Massive Entertainment,Ubisoft,top_1000
Blender,game,4/24/2015,Blender Foundation,Blender Foundation,top_1000
rFactor 2,game,11/12/2015,Studio 397,Studio 397,top_1000
Wurm Unlimited,game,10/21/2015,Code Club AB,Plug In Digital,top_1000
Dragons Dogma: Dark Arisen,game,1/15/2016,Capcom,Capcom,top_1000
Hollow Knight,game,2/24/2017,Team Cherry,Team Cherry,top_1000
Sniper Ghost Warrior 3,game,4/24/2017,CI Games,CI Games,top_1000
Kingdom: Classic,game,10/21/2015,Noio,Raw Fury,top_1000
CrossCode,game,9/20/2018,Radical Fish Games,Deck13,top_1000
60 Seconds!,game,5/25/2015,Robot Gentleman,Robot Gentleman,top_1000
Assassins Creed Syndicate,game,11/18/2015,Ubisoft Quebec,Ubisoft,top_1000
Albert and Otto: The Adventure Begins,game,10/28/2015,K Bros Games,K Bros Games,top_1000
NBA 2K16,game,9/29/2015,Visual Concepts,2K,top_1000
TIS-100,game,7/20/2015,Zachtronics,Zachtronics,top_1000
Gary Grigsbys War in the East,game,7/9/2015,2by3 Games,Slitherine Ltd,top_1000
NOBUNAGAS AMBITION: Tenshouki WPK HD Version,game,11/11/2015,KOEI TECMO GAMES CO,KOEI TECMO GAMES CO,top_1000
Far Cry Primal,game,2/29/2016,Ubisoft,Ubisoft,top_1000
Evil Genius,game,6/22/2009,Elixir Studios,Rebellion,top_1000
Tree of Savior (English Ver.),game,3/28/2016,IMCGAMES Co,IMCGAMES Co,top_1000
Divinity: Original Sin Enhanced Edition,game,10/27/2015,Larian Studios,Larian Studios,top_1000
Portal Knights,game,5/18/2017,Keen Games,505 Games,top_1000
DARK SOULS III,game,4/11/2016,FromSoftware,FromSoftware,top_1000
NOBUNAGAS AMBITION: Souzou SengokuRisshiden,game,3/23/2016,KOEI TECMO GAMES CO,KOEI TECMO GAMES CO,top_1000
Football Tactics,game,6/1/2018,Creoteam,Creoteam,top_1000
Viridi,game,8/19/2015,Zoe Vartanian,Ice Water Games,top_1000
The Isle,game,12/1/2015,Afterthought LLC,Afterthought LLC,top_1000
Fallout 4,game,11/9/2015,Bethesda Game Studios,Bethesda Softworks,top_1000
Project CARS 2,game,9/21/2017,Slightly Mad Studios,BANDAI NAMCO Entertainment,top_1000
DOOM,game,5/12/2016,id Software,Bethesda Softworks,top_1000
Fishing Planet,game,8/28/2017,Fishing Planet LLC,Fishing Planet LLC,top_1000
Dead by Daylight,game,6/14/2016,Behaviour Digital Inc,Behaviour Digital Inc,top_1000
Action Alien,game,6/26/2015,Devdan Games,Devdan Games,top_1000
Relic Hunters Zero,game,8/18/2015,Rogue Snail,Rogue Snail,top_1000
FINAL FANTASY VI,game,12/16/2015,Square Enix,Square Enix,top_1000
Empyrion - Galactic Survival,game,8/5/2015,Eleon Game Studios,Eleon Game Studios,top_1000
Dead Island Riptide Definitive Edition,game,5/31/2016,Techland,Deep Silver,top_1000
ABZ,game,8/2/2016,Giant Squid,505 Games,top_1000
CPUCores :: Maximize Your FPS,game,7/6/2015,StartupTim,StartupTim,top_1000
CAT Interstellar,game,10/6/2017,Ionized Games,Ionized Games,top_1000
Planet Centauri,game,6/3/2016,Permadeath,Permadeath,top_1000
WWE 2K16,game,3/10/2016,Visual Concepts,2K,top_1000
NBA 2K17,game,9/20/2016,Visual Concepts,2K,top_1000
NEKOPARA Vol. 0,game,8/17/2015,NEKO WORKs,Sekai Project,top_1000
Crossout,game,7/26/2017,Targem Games,Gaijin Entertainment,top_1000
SMITE,game,9/8/2015,Titan Forge Games,Hi-Rez Studios,top_1000
Scrap Mechanic,game,1/19/2016,Axolot Games,Axolot Games,top_1000
Project Tarvotan,game,9/25/2015,JDRumble,JDRumble,top_1000
Oxenfree,game,1/14/2016,Night School Studio,Night School Studio,top_1000
Knight Online,game,1/25/2016,Noah System,NTTGame,top_1000
TEKKEN 7,game,6/1/2017,BANDAI NAMCO Studios Inc,BANDAI NAMCO Entertainment,top_1000
Sid Meiers Civilization IV,game,10/25/2006,Firaxis Games,2K,top_1000
Moonbase Alpha,game,7/6/2010,Virtual Heroes,NASA,top_1000
9Dragons,game,2/14/2017,JoongWon Games,RedFox Games,top_1000
Sid Meiers Civilization III: Complete,game,10/25/2006,Firaxis Games,2K,top_1000
F1 2016,game,8/18/2016,Codemasters,Codemasters,top_1000
RIFT,game,3/1/2011,Trion Worlds,Trion Worlds,top_1000
FINAL FANTASY VII,game,7/4/2013,Square Enix,Square Enix,top_1000
Undertale,game,9/15/2015,tobyfox,tobyfox,top_1000
Layers of Fear,game,2/15/2016,Bloober Team SA,Aspyr,top_1000
Dungeon Siege,game,4/5/2011,Gas Powered Games,Square Enix,top_1000
Dungeon Siege 2,game,8/16/2005,Gas Powered Games,Square Enix,top_1000
FINAL FANTASY XIV Online,game,2/18/2014,Square Enix,Square Enix,top_1000
Endless Space 2,game,5/18/2017,AMPLITUDE Studios,SEGA,top_1000
Call of Duty: Modern Warfare Remastered,game,7/27/2017,Raven Software,Activision,top_1000
Squad,game,12/14/2015,Offworld Industries,Offworld Industries,top_1000
Hurtworld,game,12/3/2015,Bankroll Studios,Bankroll Studios,top_1000
Ice Lakes,game,4/19/2016,Iceflake Studios,Iceflake Studios,top_1000
Battleborn,game,5/3/2016,Gearbox Software,2K,top_1000
Hearts of Iron IV,game,6/6/2016,Paradox Development Studio,Paradox Interactive,top_1000
Dead Effect 2,game,5/6/2016,BadFly Interactive,App Holdings,top_1000
Office Battle,game,12/2/2015,Black Lime Studio,Black Lime Studio,top_1000
MachineCraft,game,3/25/2016,G2CREW,G2CREW,top_1000
Lords of the Realm II,game,12/3/2015,Impressions Games,Rebellion,top_1000
Business Tour - Online Multiplayer Board Game,game,7/27/2017,Creobit,8Floor,top_1000
Portal,game,10/10/2007,Valve,Valve,top_1000
Garrys Mod,game,11/29/2006,Facepunch Studios,Valve,top_1000
Lift It,game,1/20/2017,89AM Studio,89AM Studio,top_1000
Crusaders of the Lost Idols,game,10/13/2015,Codename Entertainment Inc,Codename Entertainment Inc,top_1000
Dishonored 2,game,11/11/2016,Arkane Studios,Bethesda Softworks,top_1000
Nex Machina,game,6/20/2017,Housemarque,Housemarque,top_1000
Hob,game,9/26/2017,Runic Games,Runic Games,top_1000
Pony Island,game,1/4/2016,Daniel Mullins Games,Daniel Mullins Games,top_1000
Machinarium,game,10/16/2009,Amanita Design,Amanita Design,top_1000
Survival Is Not Enough,game,7/14/2017,Fixer Games,Fixer Games,top_1000
Club Manager 2016,game,11/19/2015,BigBlaze Games,2tainment GmbH,top_1000
Sakura Dungeon,game,6/3/2016,Winged Cloud,Winged Cloud,top_1000
Stronghold Crusader HD,game,10/21/2013,FireFly Studios,FireFly Studios,top_1000
Serious Sam HD: The First Encounter,game,11/24/2009,Croteam,Devolver Digital,top_1000
ELEX,game,10/17/2017,Piranha Bytes,THQ Nordic,top_1000
HordeZ,game,4/29/2016,Zenz VR,Zenz VR,top_1000
The Dreamlord,game,12/13/2016,mesetts,New Reality Games,top_1000
Audioshield,game,4/5/2016,Dylan Fitterer,Dylan Fitterer,top_1000
Stardew Valley,game,2/26/2016,ConcernedApe,ConcernedApe,top_1000
Shut Up And Dig,game,11/9/2015,Evgeny Shcherbakov,Atriagames,top_1000
RAID: World War II,game,9/26/2017,Lion game Lion,Starbreeze Publishing AB,top_1000
Torchlight,game,10/27/2009,Runic Games,Runic Games,top_1000
Motorsport Manager,game,11/9/2016,Playsport Games,SEGA,top_1000
Emporea,game,6/8/2016,Pixel Federation,Pixel Federation,top_1000
Emily is Away,game,11/20/2015,Kyle Seeley,Kyle Seeley,top_1000
Polaris Sector,game,3/22/2016,SoftWarWare,Slitherine Ltd,top_1000
Rising Storm 2: Vietnam,game,5/30/2017,Antimatter Games,Tripwire Interactive,top_1000
Spectrum,game,9/22/2016,3D Avenue,3D Avenue,top_1000
Atlantic Fleet,game,2/25/2016,Killerfish Games,Killerfish Games,top_1000
OneShot,game,12/8/2016,Little Cat Feet,Degica,top_1000
StarBreak,game,5/10/2016,Crunchy Games,Crunchy Games,top_1000
DiRT 4,game,6/8/2017,Codemasters,Codemasters,top_1000
Deponia Doomsday,game,3/1/2016,Daedalic Entertainment,Daedalic Entertainment,top_1000
Furi,game,7/5/2016,The Game Bakers,The Game Bakers,top_1000
War of Rights,game,12/3/2018,Campfire Games,Campfire Games,top_1000
Iron Snout,game,1/27/2016,SnoutUp,SnoutUp,top_1000
Wolcen: Lords of Mayhem,game,3/24/2016,WOLCEN Studio,WOLCEN Studio,top_1000
ONE PIECE BURNING BLOOD,game,9/1/2016,Spike Chunsoft Co,BANDAI NAMCO Entertainment,top_1000
The Room Two,game,7/5/2016,Fireproof Games,Fireproof Games,top_1000
Call of Duty: Modern Warfare 3,game,11/7/2011,Infinity Ward,Activision,top_1000
Call of Duty: Black Ops,game,11/8/2010,Treyarch,Activision,top_1000
Call of Duty: Black Ops - Multiplayer,game,11/8/2010,Treyarch,Activision,top_1000
Orcs Must Die! Unchained,game,4/19/2017,Robot Entertainment,Robot Entertainment,top_1000
Factorio,game,2/25/2016,Wube Software LTD,Wube Software LTD,top_1000
Gems of the Aztecs,game,4/22/2016,Wellore,8Floor,top_1000
Victoria II,game,8/30/2010,Paradox Development Studio,Paradox Interactive,top_1000
Tales of Berseria,game,1/26/2017,BANDAI NAMCO Studios Inc,BANDAI NAMCO Entertainment,top_1000
Golf With Your Friends,game,1/29/2016,Blacklight Interactive,Team17 Digital Ltd,top_1000
Hard Room,game,1/21/2016,Evgeny Shcherbakov,Atriagames,top_1000
Wallpaper Engine,game,11/16/2018,Kristjan Skutta,Kristjan Skutta,top_1000
Slime Rancher,game,8/1/2017,Monomi Park,Monomi Park,top_1000
H1Z1,game,2/28/2018,NantG,Daybreak Game Company,top_1000
Aerofly FS 2 Flight Simulator,game,11/20/2017,IPACS,IPACS,top_1000
The Jackbox Party Pack 3,game,10/17/2016,Jackbox Games,Jackbox Games,top_1000
Lost Castle,game,8/31/2016,Hunter Studio,Another Indie,top_1000
Divinity: Original Sin 2,game,9/14/2017,Larian Studios,Larian Studios,top_1000
Hidden Folks,game,2/15/2017,Adriaan de Jongh,Adriaan de Jongh,top_1000
Raw Data,game,10/5/2017,Survios,Survios,top_1000
AI: Rampage,game,1/27/2016,Sekerin Productions,New Reality Games,top_1000
Shakes and Fidget,game,2/24/2016,Playa Games GmbH,Playa Games GmbH,top_1000
VRChat,game,2/1/2017,VRChat Inc,VRChat Inc,top_1000
Friday the 13th: The Game,game,5/25/2017,IllFonic,Gun Media,top_1000
Team Fortress 2,game,10/10/2007,Valve,Valve,top_1000
Conan Exiles,game,5/8/2018,Funcom,Funcom,top_1000
STAR WARS Rebellion,game,3/1/2016,Coolhand Interactive,LucasArts,top_1000
Riders of Icarus,game,7/6/2016,WeMade,Nexon America,top_1000
STRAFE: Millennium Edition,game,5/9/2017,Pixel Titans,Devolver Digital,top_1000
Unknown Battle,game,3/14/2016,Nikolai Patrakov,RenPen,top_1000
Paladins,game,5/8/2018,Evil Mojo Games,Hi-Rez Studios,top_1000
World of Tanks Blitz,game,11/9/2016,Wargaming Group Limited,Wargaming Group Limited,top_1000
POLYWAR,game,12/30/2016,exagongames,New Reality Games,top_1000
Bloons TD Battles,game,4/20/2016,Ninja Kiwi,Ninja Kiwi,top_1000
Avorion,game,1/23/2017,Boxelware,Boxelware,top_1000
Jalopy,game,3/28/2018,Minskworks,Excalibur Games,top_1000
GUNS UP!,game,2/5/2018,Valkyrie Entertainment,PlayStation Mobile,top_1000
Transport Fever,game,11/8/2016,Urban Games,Good Shepherd Entertainment,top_1000
Farming Simulator 17,game,10/24/2016,Giants Software,Focus Home Interactive,top_1000
Watch_Dogs 2,game,11/28/2016,Ubisoft,Ubisoft,top_1000
Day of Infamy,game,3/23/2017,New World Interactive,New World Interactive,top_1000
Red Risk,game,3/4/2016,Microblast Games,Microblast Games,top_1000
Fibbage XL,game,3/24/2016,Jackbox Games,Jackbox Games,top_1000
Bizarre Earthquake,game,5/11/2016,Proximity Games,Proximity Games,top_1000
Bacteria,game,3/23/2016,Sometimes You,Sometimes You,top_1000
Little Walker,game,4/6/2016,Blake Fix,Blake Fix,top_1000
Istrolid,game,5/6/2016,treeform,treeform,top_1000
Theres Poop In My Soup,game,3/14/2016,K Bros Games,K Bros Games,top_1000
Attack on Titan / A.O.T. Wings of Freedom,game,8/26/2016,KOEI TECMO GAMES CO,KOEI TECMO GAMES CO,top_1000
Gold Rush: The Game,game,10/13/2017,Code Horizon,Code Horizon,top_1000
Battle Chef Brigade,game,11/20/2017,Trinket Studios,Adult Swim Games,top_1000
Parkitect,game,11/29/2018,Texel Raptor,Texel Raptor,top_1000
Shadowverse,game,10/27/2016,Cygames,Cygames,top_1000
Burst,game,3/14/2016,David Mulder,David Mulder,top_1000
Voxel Warfare Online,game,4/19/2016,Firehawk Studios,Firehawk Studios,top_1000
CrazyCars3D,game,6/14/2016,Anea_Duo_Dev,Anea_Duo_Dev,top_1000
DRAGON BALL XENOVERSE 2,game,10/27/2016,QLOC,BANDAI NAMCO Entertainment,top_1000
Odd||Even,game,4/6/2016,irritatingFLY studio,irritatingFLY studio,top_1000
Judgment: Apocalypse Survival Simulation,game,5/3/2018,Suncrash,Suncrash,top_1000
Oxygen Not Included,game,5/18/2017,Klei Entertainment,Klei Entertainment,top_1000
Bigscreen Beta,game,4/28/2016,Bigscreen,Bigscreen,top_1000
Dead Rising 2: Off the Record,game,10/11/2011,Capcom Vancouver,Capcom,top_1000
Road Madness,game,3/29/2016,Faton,Faton,top_1000
Winning Putt: Golf Online,game,10/25/2016,WEBZENONNET Co,BANDAI NAMCO Entertainment America,top_1000
Crush Crush,game,10/18/2016,Sad Panda Studios,Sad Panda Studios,top_1000
Megadimension Neptunia VII,game,7/5/2016,Idea Factory,Idea Factory International,top_1000
Vanquish,game,5/25/2017,PlatinumGames,SEGA,top_1000
Steep,game,12/2/2016,Ubisoft Annecy,Ubisoft,top_1000
Tom Clancys Ghost Recon Wildlands,game,3/6/2017,Ubisoft Paris,Ubisoft,top_1000
Hyposphere,game,5/5/2016,Atum Software,Sometimes You,top_1000
Empires of the Undergrowth,game,12/1/2017,Slug Disco Studios,Slug Disco Studios,top_1000
RUINER,game,9/26/2017,Reikon Games,Devolver Digital,top_1000
Don Bradman Cricket 17,game,1/16/2017,Big Ant Studios,Big Ant Studios,top_1000
Syberia,game,5/19/2011,Microids,Microids,top_1000
Out of the Park Baseball 18,game,3/24/2017,Out of the Park Developments,Out of the Park Developments,top_1000
Heroes Tactics,game,6/21/2017,Camex Games,Camex Games,top_1000
Scrap Garden,game,5/6/2016,Egidijus Bachur,Flazm,top_1000
Idling to Rule the Gods,game,5/27/2016,Shugasu GmbH,Shugasu GmbH,top_1000
Deceit,game,3/3/2017,Automaton,Automaton,top_1000
Planescape: Torment: Enhanced Edition,game,4/11/2017,Beamdog,Beamdog,top_1000
Northgard,game,3/7/2018,Shiro Games,Shiro Games,top_1000
City of God I - Prison Empire,game,7/9/2018,Pixel Gangsta Studio,Pixel Gangsta Studio,top_1000
Insincere,game,5/12/2016,Astronomic Games,New Reality Games,top_1000
Power & Revolution,game,5/26/2016,Eversim,Eversim,top_1000
90 Minute Fever,game,7/12/2016,Isokron,Isokron,top_1000
Legion TD 2,game,11/20/2017,AutoAttack Games,AutoAttack Games,top_1000
Medieval II: Total War,game,11/15/2006,CREATIVE ASSEMBLY,SEGA,top_1000
Purgatory,game,6/22/2016,Eduard Mirica,New Reality Games,top_1000
Absolver,game,8/29/2017,Sloclap,Devolver Digital,top_1000
Candy Blast,game,6/30/2016,White Rabbit Games,White Rabbit Games,top_1000
Stronghold Kingdoms,game,2/27/2012,FireFly Studios,FireFly Studios,top_1000
Quantum Break,game,9/29/2016,Remedy Entertainment,Microsoft Studios,top_1000
Titan Quest Anniversary Edition,game,8/31/2016,Iron Lore Entertainment,THQ Nordic,top_1000
Scanner Sombre,game,4/26/2017,Introversion Software,Introversion Software,top_1000
Rome: Total War,game,8/28/2007,CREATIVE ASSEMBLY,SEGA,top_1000
Call of Duty: WWII,game,11/2/2017,Sledgehammer Games,Activision,top_1000
Call of Duty: WWII - Multiplayer,game,11/2/2017,Sledgehammer Games,Activision,top_1000
Human: Fall Flat,game,7/22/2016,No Brakes Games,Curve Digital,top_1000
Overhell,game,5/28/2016,Ilja Saburov,!Lim studio,top_1000
Dragon Age: Origins - Ultimate Edition,game,10/26/2010,BioWare,Electronic Arts,top_1000
The Sims(TM) 3,game,1/27/2011,The Sims Studio,Electronic Arts,top_1000
Mansions of Madness,game,8/1/2016,Fantasy Flight Games,Fantasy Flight Games,top_1000
Prey,game,5/4/2017,Arkane Studios,Bethesda Softworks,top_1000
Wolf Simulator,game,11/16/2016,Second Reality,Dagestan Technology,top_1000
Nioh: Complete Edition,game,11/7/2017,KOEI TECMO GAMES CO,KOEI TECMO GAMES CO,top_1000
Star Merc,game,2/10/2017,D247 Games,New Worlds Games,top_1000
Rise of the Ancients,game,5/31/2016,Talentplace,KishMish Games,top_1000
Syrian Warfare,game,2/21/2017,Cats Who Play,Cats Who Play,top_1000
Fruit Ninja VR,game,12/15/2016,Halfbrick Studios Pty Ltd,Halfbrick Studios Pty Ltd,top_1000
Mount & Blade: Warband,game,3/31/2010,TaleWorlds Entertainment,TaleWorlds Entertainment,top_1000
Mount & Blade: With Fire and Sword,game,5/3/2011,TaleWorlds Entertainment,TaleWorlds Entertainment,top_1000
South Park The Fractured But Whole,game,10/16/2017,Ubisoft San Francisco,Ubisoft,top_1000
The Elder Scrolls V: Skyrim Special Edition,game,10/27/2016,Bethesda Game Studios,Bethesda Softworks,top_1000
Take Thy Throne,game,7/5/2016,Charyb Games,Charyb Games,top_1000
Bye-Bye,game, Wacky Planet,Rasul Mono,Efimov Max,top_1000
Planet Coaster,game,11/17/2016,Frontier Developments,Frontier Developments,top_1000
TransRoad: USA,game,11/9/2017,Deck13 Hamburg,astragon Entertainment,top_1000
Borderlands 2,game,9/19/2012,Gearbox Software,2K,top_1000
Dungeon Fighter Online,game,8/9/2016,Neople,Neople,top_1000
Life is Feudal: Forest Village,game,5/26/2017,Mindillusion,Bitbox Ltd,top_1000
Street Legal Racing: Redline v2.3.1,game,8/5/2016,Invictus Games Ltd,Activision Value Inc,top_1000
Left 4 Dead,game,11/17/2008,Valve,Valve,top_1000
Wild Terra Online,game,12/18/2017,Juvty Worlds Ltd,Juvty Worlds Ltd,top_1000
